# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
131		dif_131	-5.0000       	0.2000        	6.5000e+00    	-1.2000       
132		dif_132	-5.0000       	0.2000        	2.5000e+00    	-0.6000       
133		dif_133	-5.0000       	0.2000        	3.3000e+00    	-0.6000       
134		dif_134	-5.0000       	0.2000        	4.1000e+00    	-0.6000       
135		dif_135	-5.0000       	0.2000        	4.9000e+00    	-0.6000       
136		dif_136	-5.0000       	0.2000        	5.7000e+00    	-0.6000       
137		dif_137	-5.0000       	0.2000        	6.5000e+00    	-0.6000       
138		dif_138	-5.0000       	0.2000        	2.5000e+00    	0.0000        
139		dif_139	-5.0000       	0.2000        	3.3000e+00    	0.0000        
140		dif_140	-5.0000       	0.2000        	4.1000e+00    	0.0000        
141		dif_141	-5.0000       	0.2000        	4.9000e+00    	0.0000        
142		dif_142	-5.0000       	0.2000        	5.7000e+00    	0.0000        
143		dif_143	-5.0000       	0.2000        	6.5000e+00    	0.0000        
144		dif_144	-5.0000       	0.5000        	2.5000e+00    	-3.0000       
145		dif_145	-5.0000       	0.5000        	3.3000e+00    	-3.0000       
146		dif_146	-5.0000       	0.5000        	4.1000e+00    	-3.0000       
147		dif_147	-5.0000       	0.5000        	4.9000e+00    	-3.0000       
148		dif_148	-5.0000       	0.5000        	5.7000e+00    	-3.0000       
149		dif_149	-5.0000       	0.5000        	6.5000e+00    	-3.0000       
150		dif_150	-5.0000       	0.5000        	2.5000e+00    	-2.4000       
151		dif_151	-5.0000       	0.5000        	3.3000e+00    	-2.4000       
152		dif_152	-5.0000       	0.5000        	4.1000e+00    	-2.4000       
153		dif_153	-5.0000       	0.5000        	4.9000e+00    	-2.4000       
154		dif_154	-5.0000       	0.5000        	5.7000e+00    	-2.4000       
155		dif_155	-5.0000       	0.5000        	6.5000e+00    	-2.4000       
156		dif_156	-5.0000       	0.5000        	2.5000e+00    	-1.8000       
157		dif_157	-5.0000       	0.5000        	3.3000e+00    	-1.8000       
158		dif_158	-5.0000       	0.5000        	4.1000e+00    	-1.8000       
159		dif_159	-5.0000       	0.5000        	4.9000e+00    	-1.8000       
160		dif_160	-5.0000       	0.5000        	5.7000e+00    	-1.8000       
161		dif_161	-5.0000       	0.5000        	6.5000e+00    	-1.8000       
162		dif_162	-5.0000       	0.5000        	2.5000e+00    	-1.2000       
163		dif_163	-5.0000       	0.5000        	3.3000e+00    	-1.2000       
164		dif_164	-5.0000       	0.5000        	4.1000e+00    	-1.2000       
165		dif_165	-5.0000       	0.5000        	4.9000e+00    	-1.2000       
166		dif_166	-5.0000       	0.5000        	5.7000e+00    	-1.2000       
167		dif_167	-5.0000       	0.5000        	6.5000e+00    	-1.2000       
168		dif_168	-5.0000       	0.5000        	2.5000e+00    	-0.6000       
169		dif_169	-5.0000       	0.5000        	3.3000e+00    	-0.6000       
170		dif_170	-5.0000       	0.5000        	4.1000e+00    	-0.6000       
171		dif_171	-5.0000       	0.5000        	4.9000e+00    	-0.6000       
172		dif_172	-5.0000       	0.5000        	5.7000e+00    	-0.6000       
173		dif_173	-5.0000       	0.5000        	6.5000e+00    	-0.6000       
174		dif_174	-5.0000       	0.5000        	2.5000e+00    	0.0000        
175		dif_175	-5.0000       	0.5000        	3.3000e+00    	0.0000        
176		dif_176	-5.0000       	0.5000        	4.1000e+00    	0.0000        
177		dif_177	-5.0000       	0.5000        	4.9000e+00    	0.0000        
178		dif_178	-5.0000       	0.5000        	5.7000e+00    	0.0000        
179		dif_179	-5.0000       	0.5000        	6.5000e+00    	0.0000        
180		dif_180	-5.0000       	0.8000        	2.5000e+00    	-3.0000       
181		dif_181	-5.0000       	0.8000        	3.3000e+00    	-3.0000       
182		dif_182	-5.0000       	0.8000        	4.1000e+00    	-3.0000       
183		dif_183	-5.0000       	0.8000        	4.9000e+00    	-3.0000       
184		dif_184	-5.0000       	0.8000        	5.7000e+00    	-3.0000       
185		dif_185	-5.0000       	0.8000        	6.5000e+00    	-3.0000       
186		dif_186	-5.0000       	0.8000        	2.5000e+00    	-2.4000       
187		dif_187	-5.0000       	0.8000        	3.3000e+00    	-2.4000       
188		dif_188	-5.0000       	0.8000        	4.1000e+00    	-2.4000       
189		dif_189	-5.0000       	0.8000        	4.9000e+00    	-2.4000       
190		dif_190	-5.0000       	0.8000        	5.7000e+00    	-2.4000       
191		dif_191	-5.0000       	0.8000        	6.5000e+00    	-2.4000       
192		dif_192	-5.0000       	0.8000        	2.5000e+00    	-1.8000       
193		dif_193	-5.0000       	0.8000        	3.3000e+00    	-1.8000       
194		dif_194	-5.0000       	0.8000        	4.1000e+00    	-1.8000       
195		dif_195	-5.0000       	0.8000        	4.9000e+00    	-1.8000       
196		dif_196	-5.0000       	0.8000        	5.7000e+00    	-1.8000       
197		dif_197	-5.0000       	0.8000        	6.5000e+00    	-1.8000       
198		dif_198	-5.0000       	0.8000        	2.5000e+00    	-1.2000       
