# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
759		dif_759	-2.1800       	0.2000        	4.9000e+00    	-3.0000       
760		dif_760	-2.1800       	0.2000        	5.7000e+00    	-3.0000       
761		dif_761	-2.1800       	0.2000        	6.5000e+00    	-3.0000       
762		dif_762	-2.1800       	0.2000        	2.5000e+00    	-2.4000       
763		dif_763	-2.1800       	0.2000        	3.3000e+00    	-2.4000       
764		dif_764	-2.1800       	0.2000        	4.1000e+00    	-2.4000       
765		dif_765	-2.1800       	0.2000        	4.9000e+00    	-2.4000       
766		dif_766	-2.1800       	0.2000        	5.7000e+00    	-2.4000       
767		dif_767	-2.1800       	0.2000        	6.5000e+00    	-2.4000       
768		dif_768	-2.1800       	0.2000        	2.5000e+00    	-1.8000       
769		dif_769	-2.1800       	0.2000        	3.3000e+00    	-1.8000       
770		dif_770	-2.1800       	0.2000        	4.1000e+00    	-1.8000       
771		dif_771	-2.1800       	0.2000        	4.9000e+00    	-1.8000       
772		dif_772	-2.1800       	0.2000        	5.7000e+00    	-1.8000       
773		dif_773	-2.1800       	0.2000        	6.5000e+00    	-1.8000       
774		dif_774	-2.1800       	0.2000        	2.5000e+00    	-1.2000       
775		dif_775	-2.1800       	0.2000        	3.3000e+00    	-1.2000       
776		dif_776	-2.1800       	0.2000        	4.1000e+00    	-1.2000       
777		dif_777	-2.1800       	0.2000        	4.9000e+00    	-1.2000       
778		dif_778	-2.1800       	0.2000        	5.7000e+00    	-1.2000       
779		dif_779	-2.1800       	0.2000        	6.5000e+00    	-1.2000       
780		dif_780	-2.1800       	0.2000        	2.5000e+00    	-0.6000       
781		dif_781	-2.1800       	0.2000        	3.3000e+00    	-0.6000       
782		dif_782	-2.1800       	0.2000        	4.1000e+00    	-0.6000       
783		dif_783	-2.1800       	0.2000        	4.9000e+00    	-0.6000       
784		dif_784	-2.1800       	0.2000        	5.7000e+00    	-0.6000       
785		dif_785	-2.1800       	0.2000        	6.5000e+00    	-0.6000       
786		dif_786	-2.1800       	0.2000        	2.5000e+00    	0.0000        
787		dif_787	-2.1800       	0.2000        	3.3000e+00    	0.0000        
788		dif_788	-2.1800       	0.2000        	4.1000e+00    	0.0000        
789		dif_789	-2.1800       	0.2000        	4.9000e+00    	0.0000        
790		dif_790	-2.1800       	0.2000        	5.7000e+00    	0.0000        
791		dif_791	-2.1800       	0.2000        	6.5000e+00    	0.0000        
792		dif_792	-2.1800       	0.5000        	2.5000e+00    	-3.0000       
793		dif_793	-2.1800       	0.5000        	3.3000e+00    	-3.0000       
794		dif_794	-2.1800       	0.5000        	4.1000e+00    	-3.0000       
795		dif_795	-2.1800       	0.5000        	4.9000e+00    	-3.0000       
796		dif_796	-2.1800       	0.5000        	5.7000e+00    	-3.0000       
797		dif_797	-2.1800       	0.5000        	6.5000e+00    	-3.0000       
798		dif_798	-2.1800       	0.5000        	2.5000e+00    	-2.4000       
799		dif_799	-2.1800       	0.5000        	3.3000e+00    	-2.4000       
800		dif_800	-2.1800       	0.5000        	4.1000e+00    	-2.4000       
801		dif_801	-2.1800       	0.5000        	4.9000e+00    	-2.4000       
802		dif_802	-2.1800       	0.5000        	5.7000e+00    	-2.4000       
803		dif_803	-2.1800       	0.5000        	6.5000e+00    	-2.4000       
804		dif_804	-2.1800       	0.5000        	2.5000e+00    	-1.8000       
805		dif_805	-2.1800       	0.5000        	3.3000e+00    	-1.8000       
806		dif_806	-2.1800       	0.5000        	4.1000e+00    	-1.8000       
807		dif_807	-2.1800       	0.5000        	4.9000e+00    	-1.8000       
808		dif_808	-2.1800       	0.5000        	5.7000e+00    	-1.8000       
809		dif_809	-2.1800       	0.5000        	6.5000e+00    	-1.8000       
810		dif_810	-2.1800       	0.5000        	2.5000e+00    	-1.2000       
811		dif_811	-2.1800       	0.5000        	3.3000e+00    	-1.2000       
812		dif_812	-2.1800       	0.5000        	4.1000e+00    	-1.2000       
813		dif_813	-2.1800       	0.5000        	4.9000e+00    	-1.2000       
814		dif_814	-2.1800       	0.5000        	5.7000e+00    	-1.2000       
815		dif_815	-2.1800       	0.5000        	6.5000e+00    	-1.2000       
816		dif_816	-2.1800       	0.5000        	2.5000e+00    	-0.6000       
817		dif_817	-2.1800       	0.5000        	3.3000e+00    	-0.6000       
818		dif_818	-2.1800       	0.5000        	4.1000e+00    	-0.6000       
819		dif_819	-2.1800       	0.5000        	4.9000e+00    	-0.6000       
820		dif_820	-2.1800       	0.5000        	5.7000e+00    	-0.6000       
821		dif_821	-2.1800       	0.5000        	6.5000e+00    	-0.6000       
822		dif_822	-2.1800       	0.5000        	2.5000e+00    	0.0000        
823		dif_823	-2.1800       	0.5000        	3.3000e+00    	0.0000        
824		dif_824	-2.1800       	0.5000        	4.1000e+00    	0.0000        
825		dif_825	-2.1800       	0.5000        	4.9000e+00    	0.0000        
826		dif_826	-2.1800       	0.5000        	5.7000e+00    	0.0000        
827		dif_827	-2.1800       	0.5000        	6.5000e+00    	0.0000        
828		dif_828	-2.1800       	0.8000        	2.5000e+00    	-3.0000       
829		dif_829	-2.1800       	0.8000        	3.3000e+00    	-3.0000       
830		dif_830	-2.1800       	0.8000        	4.1000e+00    	-3.0000       
831		dif_831	-2.1800       	0.8000        	4.9000e+00    	-3.0000       
832		dif_832	-2.1800       	0.8000        	5.7000e+00    	-3.0000       
833		dif_833	-2.1800       	0.8000        	6.5000e+00    	-3.0000       
834		dif_834	-2.1800       	0.8000        	2.5000e+00    	-2.4000       
835		dif_835	-2.1800       	0.8000        	3.3000e+00    	-2.4000       
836		dif_836	-2.1800       	0.8000        	4.1000e+00    	-2.4000       
837		dif_837	-2.1800       	0.8000        	4.9000e+00    	-2.4000       
838		dif_838	-2.1800       	0.8000        	5.7000e+00    	-2.4000       
839		dif_839	-2.1800       	0.8000        	6.5000e+00    	-2.4000       
840		dif_840	-2.1800       	0.8000        	2.5000e+00    	-1.8000       
841		dif_841	-2.1800       	0.8000        	3.3000e+00    	-1.8000       
842		dif_842	-2.1800       	0.8000        	4.1000e+00    	-1.8000       
843		dif_843	-2.1800       	0.8000        	4.9000e+00    	-1.8000       
844		dif_844	-2.1800       	0.8000        	5.7000e+00    	-1.8000       
845		dif_845	-2.1800       	0.8000        	6.5000e+00    	-1.8000       
846		dif_846	-2.1800       	0.8000        	2.5000e+00    	-1.2000       
847		dif_847	-2.1800       	0.8000        	3.3000e+00    	-1.2000       
848		dif_848	-2.1800       	0.8000        	4.1000e+00    	-1.2000       
849		dif_849	-2.1800       	0.8000        	4.9000e+00    	-1.2000       
850		dif_850	-2.1800       	0.8000        	5.7000e+00    	-1.2000       
851		dif_851	-2.1800       	0.8000        	6.5000e+00    	-1.2000       
852		dif_852	-2.1800       	0.8000        	2.5000e+00    	-0.6000       
853		dif_853	-2.1800       	0.8000        	3.3000e+00    	-0.6000       
854		dif_854	-2.1800       	0.8000        	4.1000e+00    	-0.6000       
855		dif_855	-2.1800       	0.8000        	4.9000e+00    	-0.6000       
856		dif_856	-2.1800       	0.8000        	5.7000e+00    	-0.6000       
857		dif_857	-2.1800       	0.8000        	6.5000e+00    	-0.6000       
858		dif_858	-2.1800       	0.8000        	2.5000e+00    	0.0000        
859		dif_859	-2.1800       	0.8000        	3.3000e+00    	0.0000        
860		dif_860	-2.1800       	0.8000        	4.1000e+00    	0.0000        
861		dif_861	-2.1800       	0.8000        	4.9000e+00    	0.0000        
862		dif_862	-2.1800       	0.8000        	5.7000e+00    	0.0000        
863		dif_863	-2.1800       	0.8000        	6.5000e+00    	0.0000        
864		dif_864	-1.2400       	-0.7000       	2.5000e+00    	-3.0000       
865		dif_865	-1.2400       	-0.7000       	3.3000e+00    	-3.0000       
866		dif_866	-1.2400       	-0.7000       	4.1000e+00    	-3.0000       
867		dif_867	-1.2400       	-0.7000       	4.9000e+00    	-3.0000       
868		dif_868	-1.2400       	-0.7000       	5.7000e+00    	-3.0000       
869		dif_869	-1.2400       	-0.7000       	6.5000e+00    	-3.0000       
870		dif_870	-1.2400       	-0.7000       	2.5000e+00    	-2.4000       
871		dif_871	-1.2400       	-0.7000       	3.3000e+00    	-2.4000       
872		dif_872	-1.2400       	-0.7000       	4.1000e+00    	-2.4000       
873		dif_873	-1.2400       	-0.7000       	4.9000e+00    	-2.4000       
874		dif_874	-1.2400       	-0.7000       	5.7000e+00    	-2.4000       
875		dif_875	-1.2400       	-0.7000       	6.5000e+00    	-2.4000       
876		dif_876	-1.2400       	-0.7000       	2.5000e+00    	-1.8000       
877		dif_877	-1.2400       	-0.7000       	3.3000e+00    	-1.8000       
878		dif_878	-1.2400       	-0.7000       	4.1000e+00    	-1.8000       
879		dif_879	-1.2400       	-0.7000       	4.9000e+00    	-1.8000       
880		dif_880	-1.2400       	-0.7000       	5.7000e+00    	-1.8000       
881		dif_881	-1.2400       	-0.7000       	6.5000e+00    	-1.8000       
882		dif_882	-1.2400       	-0.7000       	2.5000e+00    	-1.2000       
883		dif_883	-1.2400       	-0.7000       	3.3000e+00    	-1.2000       
884		dif_884	-1.2400       	-0.7000       	4.1000e+00    	-1.2000       
885		dif_885	-1.2400       	-0.7000       	4.9000e+00    	-1.2000       
886		dif_886	-1.2400       	-0.7000       	5.7000e+00    	-1.2000       
887		dif_887	-1.2400       	-0.7000       	6.5000e+00    	-1.2000       
888		dif_888	-1.2400       	-0.7000       	2.5000e+00    	-0.6000       
889		dif_889	-1.2400       	-0.7000       	3.3000e+00    	-0.6000       
890		dif_890	-1.2400       	-0.7000       	4.1000e+00    	-0.6000       
891		dif_891	-1.2400       	-0.7000       	4.9000e+00    	-0.6000       
892		dif_892	-1.2400       	-0.7000       	5.7000e+00    	-0.6000       
893		dif_893	-1.2400       	-0.7000       	6.5000e+00    	-0.6000       
894		dif_894	-1.2400       	-0.7000       	2.5000e+00    	0.0000        
895		dif_895	-1.2400       	-0.7000       	3.3000e+00    	0.0000        
896		dif_896	-1.2400       	-0.7000       	4.1000e+00    	0.0000        
897		dif_897	-1.2400       	-0.7000       	4.9000e+00    	0.0000        
898		dif_898	-1.2400       	-0.7000       	5.7000e+00    	0.0000        
899		dif_899	-1.2400       	-0.7000       	6.5000e+00    	0.0000        
900		dif_900	-1.2400       	-0.4000       	2.5000e+00    	-3.0000       
901		dif_901	-1.2400       	-0.4000       	3.3000e+00    	-3.0000       
902		dif_902	-1.2400       	-0.4000       	4.1000e+00    	-3.0000       
903		dif_903	-1.2400       	-0.4000       	4.9000e+00    	-3.0000       
904		dif_904	-1.2400       	-0.4000       	5.7000e+00    	-3.0000       
905		dif_905	-1.2400       	-0.4000       	6.5000e+00    	-3.0000       
906		dif_906	-1.2400       	-0.4000       	2.5000e+00    	-2.4000       
907		dif_907	-1.2400       	-0.4000       	3.3000e+00    	-2.4000       
908		dif_908	-1.2400       	-0.4000       	4.1000e+00    	-2.4000       
909		dif_909	-1.2400       	-0.4000       	4.9000e+00    	-2.4000       
910		dif_910	-1.2400       	-0.4000       	5.7000e+00    	-2.4000       
911		dif_911	-1.2400       	-0.4000       	6.5000e+00    	-2.4000       
912		dif_912	-1.2400       	-0.4000       	2.5000e+00    	-1.8000       
913		dif_913	-1.2400       	-0.4000       	3.3000e+00    	-1.8000       
914		dif_914	-1.2400       	-0.4000       	4.1000e+00    	-1.8000       
915		dif_915	-1.2400       	-0.4000       	4.9000e+00    	-1.8000       
916		dif_916	-1.2400       	-0.4000       	5.7000e+00    	-1.8000       
917		dif_917	-1.2400       	-0.4000       	6.5000e+00    	-1.8000       
918		dif_918	-1.2400       	-0.4000       	2.5000e+00    	-1.2000       
919		dif_919	-1.2400       	-0.4000       	3.3000e+00    	-1.2000       
920		dif_920	-1.2400       	-0.4000       	4.1000e+00    	-1.2000       
921		dif_921	-1.2400       	-0.4000       	4.9000e+00    	-1.2000       
922		dif_922	-1.2400       	-0.4000       	5.7000e+00    	-1.2000       
923		dif_923	-1.2400       	-0.4000       	6.5000e+00    	-1.2000       
924		dif_924	-1.2400       	-0.4000       	2.5000e+00    	-0.6000       
925		dif_925	-1.2400       	-0.4000       	3.3000e+00    	-0.6000       
926		dif_926	-1.2400       	-0.4000       	4.1000e+00    	-0.6000       
927		dif_927	-1.2400       	-0.4000       	4.9000e+00    	-0.6000       
928		dif_928	-1.2400       	-0.4000       	5.7000e+00    	-0.6000       
929		dif_929	-1.2400       	-0.4000       	6.5000e+00    	-0.6000       
930		dif_930	-1.2400       	-0.4000       	2.5000e+00    	0.0000        
931		dif_931	-1.2400       	-0.4000       	3.3000e+00    	0.0000        
932		dif_932	-1.2400       	-0.4000       	4.1000e+00    	0.0000        
933		dif_933	-1.2400       	-0.4000       	4.9000e+00    	0.0000        
934		dif_934	-1.2400       	-0.4000       	5.7000e+00    	0.0000        
935		dif_935	-1.2400       	-0.4000       	6.5000e+00    	0.0000        
936		dif_936	-1.2400       	-0.1000       	2.5000e+00    	-3.0000       
937		dif_937	-1.2400       	-0.1000       	3.3000e+00    	-3.0000       
938		dif_938	-1.2400       	-0.1000       	4.1000e+00    	-3.0000       
939		dif_939	-1.2400       	-0.1000       	4.9000e+00    	-3.0000       
940		dif_940	-1.2400       	-0.1000       	5.7000e+00    	-3.0000       
941		dif_941	-1.2400       	-0.1000       	6.5000e+00    	-3.0000       
942		dif_942	-1.2400       	-0.1000       	2.5000e+00    	-2.4000       
943		dif_943	-1.2400       	-0.1000       	3.3000e+00    	-2.4000       
944		dif_944	-1.2400       	-0.1000       	4.1000e+00    	-2.4000       
945		dif_945	-1.2400       	-0.1000       	4.9000e+00    	-2.4000       
946		dif_946	-1.2400       	-0.1000       	5.7000e+00    	-2.4000       
947		dif_947	-1.2400       	-0.1000       	6.5000e+00    	-2.4000       
948		dif_948	-1.2400       	-0.1000       	2.5000e+00    	-1.8000       
949		dif_949	-1.2400       	-0.1000       	3.3000e+00    	-1.8000       
950		dif_950	-1.2400       	-0.1000       	4.1000e+00    	-1.8000       
951		dif_951	-1.2400       	-0.1000       	4.9000e+00    	-1.8000       
952		dif_952	-1.2400       	-0.1000       	5.7000e+00    	-1.8000       
953		dif_953	-1.2400       	-0.1000       	6.5000e+00    	-1.8000       
954		dif_954	-1.2400       	-0.1000       	2.5000e+00    	-1.2000       
955		dif_955	-1.2400       	-0.1000       	3.3000e+00    	-1.2000       
956		dif_956	-1.2400       	-0.1000       	4.1000e+00    	-1.2000       
957		dif_957	-1.2400       	-0.1000       	4.9000e+00    	-1.2000       
958		dif_958	-1.2400       	-0.1000       	5.7000e+00    	-1.2000       
959		dif_959	-1.2400       	-0.1000       	6.5000e+00    	-1.2000       
960		dif_960	-1.2400       	-0.1000       	2.5000e+00    	-0.6000       
961		dif_961	-1.2400       	-0.1000       	3.3000e+00    	-0.6000       
962		dif_962	-1.2400       	-0.1000       	4.1000e+00    	-0.6000       
963		dif_963	-1.2400       	-0.1000       	4.9000e+00    	-0.6000       
964		dif_964	-1.2400       	-0.1000       	5.7000e+00    	-0.6000       
965		dif_965	-1.2400       	-0.1000       	6.5000e+00    	-0.6000       
966		dif_966	-1.2400       	-0.1000       	2.5000e+00    	0.0000        
967		dif_967	-1.2400       	-0.1000       	3.3000e+00    	0.0000        
968		dif_968	-1.2400       	-0.1000       	4.1000e+00    	0.0000        
969		dif_969	-1.2400       	-0.1000       	4.9000e+00    	0.0000        
970		dif_970	-1.2400       	-0.1000       	5.7000e+00    	0.0000        
971		dif_971	-1.2400       	-0.1000       	6.5000e+00    	0.0000        
972		dif_972	-1.2400       	0.2000        	2.5000e+00    	-3.0000       
973		dif_973	-1.2400       	0.2000        	3.3000e+00    	-3.0000       
974		dif_974	-1.2400       	0.2000        	4.1000e+00    	-3.0000       
975		dif_975	-1.2400       	0.2000        	4.9000e+00    	-3.0000       
976		dif_976	-1.2400       	0.2000        	5.7000e+00    	-3.0000       
977		dif_977	-1.2400       	0.2000        	6.5000e+00    	-3.0000       
978		dif_978	-1.2400       	0.2000        	2.5000e+00    	-2.4000       
979		dif_979	-1.2400       	0.2000        	3.3000e+00    	-2.4000       
980		dif_980	-1.2400       	0.2000        	4.1000e+00    	-2.4000       
981		dif_981	-1.2400       	0.2000        	4.9000e+00    	-2.4000       
982		dif_982	-1.2400       	0.2000        	5.7000e+00    	-2.4000       
983		dif_983	-1.2400       	0.2000        	6.5000e+00    	-2.4000       
984		dif_984	-1.2400       	0.2000        	2.5000e+00    	-1.8000       
985		dif_985	-1.2400       	0.2000        	3.3000e+00    	-1.8000       
986		dif_986	-1.2400       	0.2000        	4.1000e+00    	-1.8000       
987		dif_987	-1.2400       	0.2000        	4.9000e+00    	-1.8000       
988		dif_988	-1.2400       	0.2000        	5.7000e+00    	-1.8000       
989		dif_989	-1.2400       	0.2000        	6.5000e+00    	-1.8000       
990		dif_990	-1.2400       	0.2000        	2.5000e+00    	-1.2000       
991		dif_991	-1.2400       	0.2000        	3.3000e+00    	-1.2000       
992		dif_992	-1.2400       	0.2000        	4.1000e+00    	-1.2000       
993		dif_993	-1.2400       	0.2000        	4.9000e+00    	-1.2000       
994		dif_994	-1.2400       	0.2000        	5.7000e+00    	-1.2000       
995		dif_995	-1.2400       	0.2000        	6.5000e+00    	-1.2000       
996		dif_996	-1.2400       	0.2000        	2.5000e+00    	-0.6000       
997		dif_997	-1.2400       	0.2000        	3.3000e+00    	-0.6000       
998		dif_998	-1.2400       	0.2000        	4.1000e+00    	-0.6000       
999		dif_999	-1.2400       	0.2000        	4.9000e+00    	-0.6000       
1000		dif_1000	-1.2400       	0.2000        	5.7000e+00    	-0.6000       
1001		dif_1001	-1.2400       	0.2000        	6.5000e+00    	-0.6000       
1002		dif_1002	-1.2400       	0.2000        	2.5000e+00    	0.0000        
1003		dif_1003	-1.2400       	0.2000        	3.3000e+00    	0.0000        
1004		dif_1004	-1.2400       	0.2000        	4.1000e+00    	0.0000        
1005		dif_1005	-1.2400       	0.2000        	4.9000e+00    	0.0000        
1006		dif_1006	-1.2400       	0.2000        	5.7000e+00    	0.0000        
1007		dif_1007	-1.2400       	0.2000        	6.5000e+00    	0.0000        
1008		dif_1008	-1.2400       	0.5000        	2.5000e+00    	-3.0000       
1009		dif_1009	-1.2400       	0.5000        	3.3000e+00    	-3.0000       
1010		dif_1010	-1.2400       	0.5000        	4.1000e+00    	-3.0000       
1011		dif_1011	-1.2400       	0.5000        	4.9000e+00    	-3.0000       
1012		dif_1012	-1.2400       	0.5000        	5.7000e+00    	-3.0000       
1013		dif_1013	-1.2400       	0.5000        	6.5000e+00    	-3.0000       
1014		dif_1014	-1.2400       	0.5000        	2.5000e+00    	-2.4000       
1015		dif_1015	-1.2400       	0.5000        	3.3000e+00    	-2.4000       
1016		dif_1016	-1.2400       	0.5000        	4.1000e+00    	-2.4000       
1017		dif_1017	-1.2400       	0.5000        	4.9000e+00    	-2.4000       
1018		dif_1018	-1.2400       	0.5000        	5.7000e+00    	-2.4000       
1019		dif_1019	-1.2400       	0.5000        	6.5000e+00    	-2.4000       
1020		dif_1020	-1.2400       	0.5000        	2.5000e+00    	-1.8000       
1021		dif_1021	-1.2400       	0.5000        	3.3000e+00    	-1.8000       
1022		dif_1022	-1.2400       	0.5000        	4.1000e+00    	-1.8000       
1023		dif_1023	-1.2400       	0.5000        	4.9000e+00    	-1.8000       
1024		dif_1024	-1.2400       	0.5000        	5.7000e+00    	-1.8000       
1025		dif_1025	-1.2400       	0.5000        	6.5000e+00    	-1.8000       
1026		dif_1026	-1.2400       	0.5000        	2.5000e+00    	-1.2000       
1027		dif_1027	-1.2400       	0.5000        	3.3000e+00    	-1.2000       
1028		dif_1028	-1.2400       	0.5000        	4.1000e+00    	-1.2000       
1029		dif_1029	-1.2400       	0.5000        	4.9000e+00    	-1.2000       
1030		dif_1030	-1.2400       	0.5000        	5.7000e+00    	-1.2000       
1031		dif_1031	-1.2400       	0.5000        	6.5000e+00    	-1.2000       
1032		dif_1032	-1.2400       	0.5000        	2.5000e+00    	-0.6000       
1033		dif_1033	-1.2400       	0.5000        	3.3000e+00    	-0.6000       
1034		dif_1034	-1.2400       	0.5000        	4.1000e+00    	-0.6000       
1035		dif_1035	-1.2400       	0.5000        	4.9000e+00    	-0.6000       
1036		dif_1036	-1.2400       	0.5000        	5.7000e+00    	-0.6000       
1037		dif_1037	-1.2400       	0.5000        	6.5000e+00    	-0.6000       
1038		dif_1038	-1.2400       	0.5000        	2.5000e+00    	0.0000        
1039		dif_1039	-1.2400       	0.5000        	3.3000e+00    	0.0000        
1040		dif_1040	-1.2400       	0.5000        	4.1000e+00    	0.0000        
1041		dif_1041	-1.2400       	0.5000        	4.9000e+00    	0.0000        
1042		dif_1042	-1.2400       	0.5000        	5.7000e+00    	0.0000        
1043		dif_1043	-1.2400       	0.5000        	6.5000e+00    	0.0000        
1044		dif_1044	-1.2400       	0.8000        	2.5000e+00    	-3.0000       
1045		dif_1045	-1.2400       	0.8000        	3.3000e+00    	-3.0000       
1046		dif_1046	-1.2400       	0.8000        	4.1000e+00    	-3.0000       
1047		dif_1047	-1.2400       	0.8000        	4.9000e+00    	-3.0000       
1048		dif_1048	-1.2400       	0.8000        	5.7000e+00    	-3.0000       
1049		dif_1049	-1.2400       	0.8000        	6.5000e+00    	-3.0000       
1050		dif_1050	-1.2400       	0.8000        	2.5000e+00    	-2.4000       
1051		dif_1051	-1.2400       	0.8000        	3.3000e+00    	-2.4000       
1052		dif_1052	-1.2400       	0.8000        	4.1000e+00    	-2.4000       
1053		dif_1053	-1.2400       	0.8000        	4.9000e+00    	-2.4000       
1054		dif_1054	-1.2400       	0.8000        	5.7000e+00    	-2.4000       
1055		dif_1055	-1.2400       	0.8000        	6.5000e+00    	-2.4000       
1056		dif_1056	-1.2400       	0.8000        	2.5000e+00    	-1.8000       
1057		dif_1057	-1.2400       	0.8000        	3.3000e+00    	-1.8000       
1058		dif_1058	-1.2400       	0.8000        	4.1000e+00    	-1.8000       
1059		dif_1059	-1.2400       	0.8000        	4.9000e+00    	-1.8000       
1060		dif_1060	-1.2400       	0.8000        	5.7000e+00    	-1.8000       
1061		dif_1061	-1.2400       	0.8000        	6.5000e+00    	-1.8000       
1062		dif_1062	-1.2400       	0.8000        	2.5000e+00    	-1.2000       
1063		dif_1063	-1.2400       	0.8000        	3.3000e+00    	-1.2000       
1064		dif_1064	-1.2400       	0.8000        	4.1000e+00    	-1.2000       
1065		dif_1065	-1.2400       	0.8000        	4.9000e+00    	-1.2000       
1066		dif_1066	-1.2400       	0.8000        	5.7000e+00    	-1.2000       
1067		dif_1067	-1.2400       	0.8000        	6.5000e+00    	-1.2000       
1068		dif_1068	-1.2400       	0.8000        	2.5000e+00    	-0.6000       
1069		dif_1069	-1.2400       	0.8000        	3.3000e+00    	-0.6000       
1070		dif_1070	-1.2400       	0.8000        	4.1000e+00    	-0.6000       
1071		dif_1071	-1.2400       	0.8000        	4.9000e+00    	-0.6000       
1072		dif_1072	-1.2400       	0.8000        	5.7000e+00    	-0.6000       
1073		dif_1073	-1.2400       	0.8000        	6.5000e+00    	-0.6000       
1074		dif_1074	-1.2400       	0.8000        	2.5000e+00    	0.0000        
1075		dif_1075	-1.2400       	0.8000        	3.3000e+00    	0.0000        
1076		dif_1076	-1.2400       	0.8000        	4.1000e+00    	0.0000        
1077		dif_1077	-1.2400       	0.8000        	4.9000e+00    	0.0000        
1078		dif_1078	-1.2400       	0.8000        	5.7000e+00    	0.0000        
1079		dif_1079	-1.2400       	0.8000        	6.5000e+00    	0.0000        
1080		dif_1080	-0.3000       	-0.7000       	2.5000e+00    	-3.0000       
1081		dif_1081	-0.3000       	-0.7000       	3.3000e+00    	-3.0000       
1082		dif_1082	-0.3000       	-0.7000       	4.1000e+00    	-3.0000       
1083		dif_1083	-0.3000       	-0.7000       	4.9000e+00    	-3.0000       
1084		dif_1084	-0.3000       	-0.7000       	5.7000e+00    	-3.0000       
1085		dif_1085	-0.3000       	-0.7000       	6.5000e+00    	-3.0000       
1086		dif_1086	-0.3000       	-0.7000       	2.5000e+00    	-2.4000       
1087		dif_1087	-0.3000       	-0.7000       	3.3000e+00    	-2.4000       
1088		dif_1088	-0.3000       	-0.7000       	4.1000e+00    	-2.4000       
1089		dif_1089	-0.3000       	-0.7000       	4.9000e+00    	-2.4000       
1090		dif_1090	-0.3000       	-0.7000       	5.7000e+00    	-2.4000       
1091		dif_1091	-0.3000       	-0.7000       	6.5000e+00    	-2.4000       
1092		dif_1092	-0.3000       	-0.7000       	2.5000e+00    	-1.8000       
1093		dif_1093	-0.3000       	-0.7000       	3.3000e+00    	-1.8000       
1094		dif_1094	-0.3000       	-0.7000       	4.1000e+00    	-1.8000       
1095		dif_1095	-0.3000       	-0.7000       	4.9000e+00    	-1.8000       
1096		dif_1096	-0.3000       	-0.7000       	5.7000e+00    	-1.8000       
1097		dif_1097	-0.3000       	-0.7000       	6.5000e+00    	-1.8000       
1098		dif_1098	-0.3000       	-0.7000       	2.5000e+00    	-1.2000       
1099		dif_1099	-0.3000       	-0.7000       	3.3000e+00    	-1.2000       
1100		dif_1100	-0.3000       	-0.7000       	4.1000e+00    	-1.2000       
1101		dif_1101	-0.3000       	-0.7000       	4.9000e+00    	-1.2000       
1102		dif_1102	-0.3000       	-0.7000       	5.7000e+00    	-1.2000       
1103		dif_1103	-0.3000       	-0.7000       	6.5000e+00    	-1.2000       
1104		dif_1104	-0.3000       	-0.7000       	2.5000e+00    	-0.6000       
1105		dif_1105	-0.3000       	-0.7000       	3.3000e+00    	-0.6000       
1106		dif_1106	-0.3000       	-0.7000       	4.1000e+00    	-0.6000       
1107		dif_1107	-0.3000       	-0.7000       	4.9000e+00    	-0.6000       
1108		dif_1108	-0.3000       	-0.7000       	5.7000e+00    	-0.6000       
1109		dif_1109	-0.3000       	-0.7000       	6.5000e+00    	-0.6000       
1110		dif_1110	-0.3000       	-0.7000       	2.5000e+00    	0.0000        
1111		dif_1111	-0.3000       	-0.7000       	3.3000e+00    	0.0000        
1112		dif_1112	-0.3000       	-0.7000       	4.1000e+00    	0.0000        
1113		dif_1113	-0.3000       	-0.7000       	4.9000e+00    	0.0000        
1114		dif_1114	-0.3000       	-0.7000       	5.7000e+00    	0.0000        
1115		dif_1115	-0.3000       	-0.7000       	6.5000e+00    	0.0000        
1116		dif_1116	-0.3000       	-0.4000       	2.5000e+00    	-3.0000       
1117		dif_1117	-0.3000       	-0.4000       	3.3000e+00    	-3.0000       
1118		dif_1118	-0.3000       	-0.4000       	4.1000e+00    	-3.0000       
1119		dif_1119	-0.3000       	-0.4000       	4.9000e+00    	-3.0000       
1120		dif_1120	-0.3000       	-0.4000       	5.7000e+00    	-3.0000       
1121		dif_1121	-0.3000       	-0.4000       	6.5000e+00    	-3.0000       
1122		dif_1122	-0.3000       	-0.4000       	2.5000e+00    	-2.4000       
1123		dif_1123	-0.3000       	-0.4000       	3.3000e+00    	-2.4000       
1124		dif_1124	-0.3000       	-0.4000       	4.1000e+00    	-2.4000       
1125		dif_1125	-0.3000       	-0.4000       	4.9000e+00    	-2.4000       
1126		dif_1126	-0.3000       	-0.4000       	5.7000e+00    	-2.4000       
1127		dif_1127	-0.3000       	-0.4000       	6.5000e+00    	-2.4000       
1128		dif_1128	-0.3000       	-0.4000       	2.5000e+00    	-1.8000       
1129		dif_1129	-0.3000       	-0.4000       	3.3000e+00    	-1.8000       
1130		dif_1130	-0.3000       	-0.4000       	4.1000e+00    	-1.8000       
1131		dif_1131	-0.3000       	-0.4000       	4.9000e+00    	-1.8000       
1132		dif_1132	-0.3000       	-0.4000       	5.7000e+00    	-1.8000       
1133		dif_1133	-0.3000       	-0.4000       	6.5000e+00    	-1.8000       
1134		dif_1134	-0.3000       	-0.4000       	2.5000e+00    	-1.2000       
1135		dif_1135	-0.3000       	-0.4000       	3.3000e+00    	-1.2000       
